time,size
0,308
0.678452,93
1.51648,112
1.5684,69
1.61029,17
1.67411,9
1.93034,54
2.08841,8
2.41722,47
4.12916,82
4.21333,120
4.73764,126
4.87276,53
5.46171,46
6.72923,77
6.8949,171
6.91717,44
6.99062,83
7.99333,11
9.2048,45
10.3318,75
10.5574,115
10.8713,18
12.0975,251
12.0982,127
12.5854,45
12.8173,1
12.8903,105
13.5074,506
13.5876,7
14.2892,40
14.6695,82
14.7097,24
15.3332,220
15.4258,170
16.315,92
16.5759,146
17.3505,100
17.9606,246
18.4774,6
18.509,37
18.5197,20
18.6608,119
19.0994,148
19.1131,15
19.1748,132
20.1223,57
20.4777,148
21.644,26
21.6871,8
21.7617,22
22.1092,56
22.5965,21
22.5977,24
23.5102,129
24.1225,87
24.6809,64
26.9411,362
27.2341,46
27.8751,9
28.1085,116
28.247,231
28.455,46
28.7422,7
29.6265,93
29.8836,189
30.085,24
30.5209,236
31.2244,77
31.5523,58
32.0384,41
32.7112,4
33.0303,502
33.0652,96
33.0752,216
33.1104,44
34.9673,138
36.3758,77
36.8513,42
36.9228,150
37.0923,63
37.4591,11
38.6039,5
38.7979,184
38.8619,52
38.9482,38
39.042,81
39.1833,180
39.7897,60
40.4934,67
41.1405,105
41.6084,45
42.0404,69
42.9354,60
43.0399,24
43.1972,130
43.6765,47
45.5458,101
45.9404,5
45.9657,93
46.1512,143
46.7779,285
48.4368,207
48.6137,31
48.9262,129
49.621,158
51.319,8
51.9363,474
52.9763,314
53.7747,64
54.7532,34
55.2946,67
57.8848,4
58.3775,125
58.6015,266
58.7508,15
59.8252,252
61.1422,222
61.651,50
62.103,117
62.1052,40
62.5983,109
62.6569,141
64.6214,160
65.2542,93
65.326,71
66.4817,23
67.4495,37
67.7189,44
68.2104,224
68.2838,60
68.3832,13
68.8512,28
68.9162,150
69.5021,38
69.7726,31
70.1341,190
70.1805,268
70.6469,79
72.2465,139
73.3391,134
73.5274,26
73.5354,98
74.4053,10
76.2319,45
76.338,60
76.536,27
77.3171,11
77.6117,30
77.6654,150
77.7002,71
77.9551,149
78.7534,72
78.9137,47
79.062,288
79.1346,11
79.1397,434
79.666,153
79.6968,43
79.9188,56
79.9494,61
80.3317,130
80.8494,136
80.8566,8
81.0653,7
81.5868,293
82.6278,18
82.8828,153
83.0303,408
84.6087,40
85.2696,147
85.3944,157
85.564,37
85.8453,102
85.8645,44
85.8821,313
86.2991,145
86.6803,100
86.8046,8
87.1183,90
87.1359,267
87.2036,49
87.6599,68
88.2016,130
88.942,20
89.6508,155
90.3929,102
90.5908,57
92.9898,69
93.0781,25
93.2552,73
93.3884,28
94.3386,47
94.6046,31
96.1595,32
96.4866,68
96.6225,114
96.7855,165
97.1331,152
97.5278,1
98.0182,63
98.3541,37
98.5027,6
99.0234,77
99.1886,207
99.6599,125
99.6691,110
99.9718,322
